Country,Region,Income_Level,Population_Millions,Import_Dependency_Percentage,Export_Revenue_Billion_USD,Year,GDP_Growth_Rate,Inflation_Rate,Food_Inflation_Rate,Fuel_Price_Index,Currency_Exchange_Rate_vs_USD,Forex_Reserves_Billion_USD,External_Debt_to_GDP,Interest_Rate,Government_Spending_Pct_GDP,Money_Supply_Growth,Unemployment_Rate,Poverty_Rate,War_Conflict_Flag,Political_Instability_Score,Supply_Chain_Disruption_Score,Oil_Dependency_Score,Tourism_Revenue_Loss_Pct,Global_Trade_Disruption_Index,Grocery_Price_Index,Transportation_Cost_Index,Travel_Cost_Index,Housing_Cost_Index,Consumer_Purchasing_Power,Currency_Devaluation_Percentage,Sovereign_Default_Risk_Score,Economic_Collapse_Probability,Inflation_Crisis_Level,Recovery_Potential_Score,Is_Future_Prediction,Policy_Intervention_Flag,Composite_Risk_Score,High_Risk_Flag,Debt_to_Forex_Ratio,Economic_Status
Sri Lanka,South Asia,Lower-Middle,22,47,12,2011,-0.16,5.36,6.16,132.8,256.011,65.64,88.3,6.95,38.1,8.4,5.3,26.9,0,4,3,6,10.3,6.2,96.2,134,122.8,101.1,92.8,3.38,17.8,99,Medium,95,0,0,46.42,1,1.35,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2012,2.07,5.73,7.55,102.6,261.199,65.64,88.6,8.33,37.7,7.2,6.7,22.7,0,4,3,6,6.4,3.4,106.3,116.7,106.4,102.3,95.2,2.03,20,99,Medium,95,0,0,47.04,1,1.35,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2013,4.7,5.61,7.96,100.8,268.743,65.64,88.8,9.33,39.6,8.6,4.4,24.7,0,3,3,6,0,3,97.7,122.9,104.5,96.8,100.4,2.89,19.2,99,Medium,95,0,0,43.83,1,1.35,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2014,3.78,8.26,9.67,33.7,274.675,65.64,89.1,8.91,40.3,9.4,5.5,22.5,0,2,3,6,0.8,3.3,102.5,65.2,84.4,111.4,96.3,2.21,15.1,99,Medium,95,0,0,40.22,1,1.36,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2015,4.47,6.88,7.12,19.9,283.793,65.64,89.7,9.71,40.4,8.8,4.2,22.4,0,3,1,6,11.8,1.9,105.8,66.4,87,117.4,99.1,3.32,22.5,99,Medium,95,0,0,44.89,1,1.37,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2016,4.1,2.18,2.39,42.3,290.86,65.64,91.6,10.1,33,2,3.8,20.2,0,1,5,6,0,3,97.4,75,70.7,108.8,102.5,2.49,11.1,99,Low,95,0,0,35.43,1,1.4,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2017,5.93,4.08,4.78,53.1,298.738,65.64,91.7,8.06,39.7,9,7.6,22.7,0,5,3,6,0,4,103.1,84.2,97.7,116.7,101.8,2.71,19,99,Low,95,0,1,49.7,1,1.4,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2018,2.36,3.87,3.07,65.1,307.194,65.64,91.5,9.29,36.2,2,2.2,18.6,0,3,2,6,0,1.6,86.3,90.6,85.3,107.5,99.3,2.83,16.8,99,Low,95,0,1,43.11,1,1.39,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2019,5.76,5.05,5.26,56.9,312.659,65.64,89.8,9.89,33.2,10.2,5.1,20.6,0,2,2,6,8.2,3.2,103.2,89.9,88.2,100.5,102,1.78,12.9,99,Medium,95,0,0,39.22,1,1.37,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2020,4.1,13.54,19.28,23.6,318.37,65.64,91.5,9.19,39.4,13.1,3.5,19.2,0,1,7,6,8,7.2,130,66.1,101.9,127,88.9,1.83,10.6,99,Medium,95,0,0,37.01,1,1.39,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2021,8.89,11.94,10.99,94.1,324.768,65.64,91.8,10.68,40,9.3,5.1,20.3,0,2,3,6,10.2,7.2,116.3,105.6,123.3,126.4,101.2,2.01,12,99,Medium,95,0,0,40.13,1,1.4,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2022,-5.34,40,34.98,206.4,495.453,65.64,101.9,10.82,40.3,44.6,7.3,28.9,0,9,9,6,35.9,5.2,201.7,176.1,216.3,189.4,56.3,52.56,37.2,99,High,95,0,0,72.14,1,1.55,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2023,1.3,25,28.98,102.2,703.73,65.64,111.2,12.11,44,32.6,10.3,27.5,0,7,7,6,28.9,5.9,157.9,110.9,146.7,158.2,76.8,42.04,27.6,99,High,95,0,0,61.96,1,1.69,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2024,1.94,4.19,3.46,76.1,720.697,65.64,113,5.44,38.3,5.8,4.6,23.7,0,3,4,6,0,4,90.2,103.4,98.5,99.7,97.3,2.41,19.8,99,Low,95,0,1,44.98,1,1.72,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2025,3.72,6.13,6.77,81.1,739.437,65.64,113.1,10.29,32.4,11.8,3,21.1,0,4,1,6,3.3,2.6,107.7,107.4,104.8,122.8,99.2,2.6,17.9,99,Medium,95,0,0,47.8,1,1.72,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2026,4.5,6.23,7.61,95.1,796.289,65.64,113.1,8.7,34.7,2.5,7.7,25.2,0,1,2,6,4.1,1.3,104,114.5,100,120.3,97.9,7.69,13.8,99,Medium,95,1,1,37.79,1,1.72,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2027,1.33,10.5,12.05,86.6,854.04,65.64,114.5,13.38,37.3,10.9,4.5,23.4,0,4,3,6,1.8,4.6,111,116.8,113.9,118.9,91.3,7.25,21,99,Medium,95,1,0,49.3,1,1.74,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2028,3.89,5.54,8.31,82.8,922.832,65.64,114.8,7.55,39.9,5.9,2.2,20.4,0,5,4,6,0,3.6,108,105.3,96.6,102.2,100.3,8.05,23.8,99,Medium,95,1,0,52.27,1,1.75,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2029,4.92,4.05,5.36,100.1,989.408,65.64,116.3,8.14,37.5,3.2,4,24.1,0,1,1,6,2,3.4,100.2,105.7,114.9,86,102.1,7.21,19.3,99,Low,95,1,0,39,1,1.77,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2030,4.1,7.35,8.74,100.5,1052.472,65.64,117.1,8.76,40.7,13.8,5,22.7,0,1,3,6,8.1,3.1,102.2,114.3,104.4,119.1,97.8,6.37,16.2,99,Medium,95,1,0,38.76,1,1.78,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2031,3.9,6.93,7.31,101.7,1125.585,65.64,117.4,7.98,37.5,11.8,3,24.1,0,6,3,6,0,4.7,106.7,108.7,116,105.2,98.8,6.95,25.1,99,Medium,95,1,0,55.93,1,1.79,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2032,4.76,7.27,7.91,105.8,1215.446,65.64,117.3,10.05,32.8,10,4.9,23.2,0,1,3,6,1,1.6,109.9,118.3,120.3,117.3,98.9,7.98,16.2,99,Medium,95,1,0,38.76,1,1.79,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2033,2.86,7.43,9.93,104.5,1305.606,65.64,118.1,10.14,33.3,9.7,4.1,21.4,0,2,5,6,6.8,5.8,102.8,113.8,112.5,122.7,96.3,7.42,17.5,99,Medium,95,1,0,42.14,1,1.8,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2034,4.66,10.14,11.43,103.8,1413.606,65.64,118.3,8.21,39.8,8.8,2.3,20.2,0,1,2,6,1.9,3.1,116.6,122,114.8,125.7,97.7,8.27,14.7,99,Medium,95,1,0,38.86,1,1.8,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2035,6.36,4.85,5.3,104.6,1513.501,65.64,120.5,8.49,38.8,7.8,3.3,22.9,0,3,3,6,10.1,2.1,92,122.5,118.5,99.7,104,7.07,17.6,99,Low,95,1,0,44.9,1,1.84,In Crisis
India,South Asia,Lower-Middle,1400,22,400,2000,4.43,4.29,5.12,64.8,83,531.01,84.1,10.21,40.8,7.6,7,24.4,0,2,2,5,2.5,3.8,103.1,94.3,101.7,107.9,99.7,0,12,3.95,Low,59.3,0,0,14.84,0,0.16,Strong
India,South Asia,Lower-Middle,1400,22,400,2001,8.07,7.37,8.6,50.1,85.377,517.89,85.2,7.49,42.2,8.6,7.1,24.6,0,3,1,5,2.9,3.2,110.8,85.3,103.6,108.5,102.7,2.86,16.3,4.94,Medium,60.8,0,0,19.68,0,0.16,Moderate
India,South Asia,Lower-Middle,1400,22,400,2002,5.83,5.82,8.23,48.4,87.318,505.8,87.7,9.12,39.6,7.7,5.9,22.8,0,2,2,5,0,3.5,111.9,73.8,78,110.6,101.1,2.27,12.1,5.04,Medium,53.3,0,0,15.54,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2003,7.48,5.34,8.38,54.7,88.506,495.87,88,5.41,41.4,7,6.5,24.7,0,5,2,5,3.5,4,106.6,86.5,92.8,110.4,103.7,1.36,20.9,6.3,Medium,56,0,0,27,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2004,5.49,8.47,10.1,59.2,90.515,484.43,89.7,6.76,34,14.7,6.1,18.2,0,1,1,5,4.4,2.3,114.2,91.4,100.7,105.9,98.4,2.27,12.1,6.25,Medium,59.7,0,0,13.34,0,0.19,Moderate
India,South Asia,Lower-Middle,1400,22,400,2005,6.81,2.13,2.45,73.9,92.008,484.22,91.7,8.53,35.8,6.5,5.9,24.7,0,4,3,5,1,2.2,88.2,99.8,93.8,105,105.6,1.65,19.4,4.8,Low,60.6,0,0,22.95,0,0.19,Strong
India,South Asia,Lower-Middle,1400,22,400,2006,8.9071,5.83,6.24,78.8,93.87,503.3,93,9.33,39.4,5.5,7,26.3,0,3,3,5,7.9,1.4,103.1,102.3,96.1,105,105.5,2.02,11.2,5.31,Medium,63.9,0,0,18.65,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2007,6.84,7.23,11.11,83,96.492,509.22,92.9,9.14,41,10.3,8.3,18.8,0,5,2,5,0,0,108.7,104.3,107,106.2,100.3,2.79,18.4,7.54,Medium,50.9,0,0,27.21,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2008,6.22,4.13,4.66,125.2,97.928,545.11,92.8,7.01,36.4,4,6.9,23,0,1,5,5,14.9,6.2,94.9,119.3,114.2,114.8,102.6,1.49,14.5,3.58,Low,61.3,0,1,12.78,0,0.17,Strong
India,South Asia,Lower-Middle,1400,22,400,2009,5.55,6.39,7.34,38.3,100.044,550.15,94,7.24,34.3,9.5,8.5,21.8,0,1,5,5,0.7,8.4,105.9,80,71.6,125.2,99,2.16,11.9,4.4,Medium,66.6,0,0,12.73,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2010,6.21,5.86,8.05,78.4,102.328,567.02,96.9,8.52,38.4,8,7.4,24.1,0,4,3,5,2.1,3.4,96.9,107.2,95.3,109.6,100.9,2.28,16.3,5.34,Medium,53.4,0,0,23.13,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2011,5.83,8.29,11.92,128.5,104.915,593.51,96.4,7.1,33.5,14.9,6.7,22.3,0,3,1,5,7.4,5.8,102.7,137.1,121.7,105.3,98.8,2.53,10.4,4.99,Medium,52.3,0,0,18.91,0,0.16,Moderate
India,South Asia,Lower-Middle,1400,22,400,2012,7.97,4.96,3.47,108.9,106.421,554.14,96.7,7.77,37.2,3,9.8,23.1,0,4,4,5,0,4.6,101.3,117.9,111.2,98.9,103.1,1.44,17.6,4.87,Low,48.9,0,0,23.2,0,0.17,Strong
India,South Asia,Lower-Middle,1400,22,400,2013,7.88,2.91,2.92,97.9,108.187,556.65,98.2,6.01,36.2,3.9,7.2,19.3,0,3,1,5,2.7,2.3,95.9,110.6,105.7,101.6,105.9,1.66,20.3,3.69,Low,61.5,0,0,20.34,0,0.18,Strong
India,South Asia,Lower-Middle,1400,22,400,2014,5.25,4.91,4.51,37,109.827,543.21,97.5,6.12,37.1,6,6.4,24.5,0,3,1,5,0.2,5,110.5,68.3,84.2,109.8,100.7,1.52,17.7,5.36,Low,54,0,0,20.38,0,0.18,Strong
India,South Asia,Lower-Middle,1400,22,400,2015,5.56,3.54,4.19,21.1,111.758,593.77,100,6.36,32.8,5.2,8.1,25.3,0,2,2,5,5.1,3.4,90.5,61.4,67.4,101.6,101.5,1.76,12.2,3.49,Low,60.5,0,0,15.45,0,0.17,Strong
India,South Asia,Lower-Middle,1400,22,400,2016,8.34,3.5,5.37,43.4,113.783,602.02,101,7.07,36.5,7.8,8.1,20.2,0,1,2,5,0.7,3,91,74.4,88.5,110,105.7,1.81,14.5,2.7,Low,62.5,0,0,12.88,0,0.17,Strong
India,South Asia,Lower-Middle,1400,22,400,2017,6.79,4.99,6.12,50.6,116.729,638.99,101.4,5.56,36.6,6.8,3.3,23,0,1,3,5,1.6,3.9,112.4,82.3,92.4,105.6,104.5,2.59,12.6,2.82,Low,69.4,0,1,12.67,0,0.16,Strong
India,South Asia,Lower-Middle,1400,22,400,2018,6.24,4.25,5.56,60.9,119.315,646.67,102.7,8.73,39,4.9,6.9,23.6,0,3,3,5,2.4,0.9,91.2,83.2,89.3,98.2,102.5,2.22,16.3,3.25,Low,58.3,0,0,19.66,0,0.16,Strong
India,South Asia,Lower-Middle,1400,22,400,2019,5.09,5.26,5.04,56.9,122.944,692.66,102.2,6.23,33,2,7.3,21.3,0,2,2,5,4.7,2.4,101.6,86.9,91.3,109.1,99.8,3.04,18.6,2.69,Medium,63.5,0,0,17.22,0,0.15,Moderate
India,South Asia,Lower-Middle,1400,22,400,2020,0.24,4.53,5.93,23.8,125.259,603.26,103.2,7.19,36.1,2.8,7.8,19,0,2,5,5,8.1,6.6,99.2,61.4,82.6,102.6,92.8,1.88,14.9,5.02,Low,43.8,0,0,16.82,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2021,6.58,10.43,12.08,85.4,128.731,592.93,105.2,6.76,43.5,12.9,6,26.3,0,4,4,5,5.7,5.6,122.8,111,113.2,112.5,98.5,2.77,21.5,6.9,Medium,49.9,0,0,25.92,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2022,6.61,10.98,11.73,188.5,131.943,633.47,105.9,9.55,37.6,14,5.5,19.2,0,2,3,5,13.6,6.4,124.6,167.9,157.6,137.3,95.3,2.5,14.3,5.39,Medium,60.1,0,0,17.86,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2023,7.91,6.9,7.12,91.8,133.419,708.62,105.4,8.25,39.4,11.8,6.4,24.7,0,4,2,5,5.4,5.2,104.9,108.5,107.3,122.6,103.1,1.12,21,3.15,Medium,61.8,0,0,24.34,0,0.15,Moderate
India,South Asia,Lower-Middle,1400,22,400,2024,5.52,4.63,6.1,79.4,136.37,727.39,107.5,4.67,35.7,7.3,12.2,23.1,0,4,3,5,8.3,1.7,105.3,103,98.3,94.3,98.5,2.21,18.8,2.85,Low,49.9,0,0,23.48,0,0.15,Strong
India,South Asia,Lower-Middle,1400,22,400,2025,7.17,7.47,8.05,76,139.381,709.27,108.7,6.68,32.9,12.8,7.8,20.2,0,4,2,5,0,2,116,95.6,104.5,118.6,100.9,2.21,15.7,3.58,Medium,47.6,0,0,23.38,0,0.15,Moderate
India,South Asia,Lower-Middle,1400,22,400,2026,7.52,8.81,14.2,97.3,150.201,715.44,109.1,6.79,37.2,10.2,7,21.7,0,4,4,5,7.6,2.2,111.9,117.8,108.8,113,100.7,7.76,18.1,3.7,Medium,47.5,1,0,24.23,0,0.15,Moderate
India,South Asia,Lower-Middle,1400,22,400,2027,8.33,7.96,9.19,89.1,160.708,756.87,111.4,5,37.4,14.9,4.8,22.3,0,3,3,5,12.8,4.5,106.5,97.5,112.1,108.1,103.7,7,14.8,2.64,Medium,47.7,1,0,20.12,0,0.15,Moderate
India,South Asia,Lower-Middle,1400,22,400,2028,6.61,6,8.12,101.3,172.19,707.88,111.2,6.06,37.7,8.7,7.7,23.8,0,5,2,5,0,3.4,102.9,109,98.4,114.6,101.3,7.14,24.2,3.91,Medium,51.3,1,1,28.49,0,0.16,Moderate
India,South Asia,Lower-Middle,1400,22,400,2029,4.65,3.26,4.22,97,183.058,706.8,110.8,6.91,38.8,6.6,9.3,20,0,3,4,5,0,3.8,95.7,108.4,99.2,101.3,99.7,6.31,14.4,2.78,Low,41,1,0,19.32,0,0.16,Strong
India,South Asia,Lower-Middle,1400,22,400,2030,8.45,6.3,7.33,105.8,195.588,649.31,110.3,6.8,36.2,11,10.2,22.6,0,2,1,5,3.6,4.7,108.3,115.1,112,133.8,102.5,6.84,16.9,3.56,Medium,61,1,0,17.58,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2031,6.25,7.28,8.08,107.3,209.743,657.5,110.3,6.7,34.3,10,9.1,21.3,0,1,3,5,0,4.1,117.2,111,115.6,122,99,7.24,13.9,3.67,Medium,65.4,1,0,14,0,0.17,Moderate
India,South Asia,Lower-Middle,1400,22,400,2032,8.9071,6.04,7.48,100.8,225.235,630.7,112.6,6.95,36.7,6.1,9.3,24.7,0,1,2,5,0,4.2,109.6,112.4,105.4,103.6,106.2,7.39,16.7,3.3,Medium,74.5,1,0,14.54,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2033,5.59,9.51,13.31,102.1,241.952,593.63,114,7.71,34.4,9.4,9.4,21.1,0,3,3,5,5,4.5,116.5,110.9,122.2,105.5,96.1,7.42,19.2,7.44,Medium,64.3,1,0,22.79,0,0.19,Moderate
India,South Asia,Lower-Middle,1400,22,400,2034,7.28,7.33,9.4,104.9,260.268,623.98,113,8.33,39.7,10.6,6.8,17.7,0,2,2,5,0,2.1,108.6,115.9,118.2,107.3,101.7,7.57,17.9,4.77,Medium,60.6,1,0,18.42,0,0.18,Moderate
India,South Asia,Lower-Middle,1400,22,400,2035,7.6,8.53,9.85,106.1,278.979,602.79,112.4,9.58,38,13.2,4.9,23.9,0,2,2,5,0,1.9,110.9,121.5,112.9,115.7,102.1,7.19,19.4,5.47,Medium,64.5,1,0,19.12,0,0.19,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2000,0.75,10.38,15.31,63.3,280,14.24,83.1,15.97,36.4,17.5,9.6,40.3,0,3,1,7,0,1.6,114.9,85.8,114.9,117,88,0,16.2,55.46,Medium,47.6,0,0,32.63,0,5.83,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2001,1.02,8.15,9.72,52.1,288.335,13.27,84.5,14.03,38.3,10.4,4,38.5,0,1,2,7,0,2.6,105.7,84.9,101.8,97.9,93,2.98,12,48.24,Medium,50.9,0,0,23.51,0,6.36,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2002,5.11,9.06,14.32,54.4,296.877,12.4,84,9.79,34.1,10.2,7.5,38,0,4,2,7,0,2.7,112.9,92.7,102.4,113,96.7,2.96,15.1,51.67,Medium,39.5,0,0,34.25,0,6.77,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2003,3.16,7.24,8.93,63.2,304.651,13.35,84.4,16.2,30.6,7,8.4,37.5,0,3,2,7,0.5,1.6,108.5,84.2,98.3,110.3,94.7,2.62,14.9,49.19,Medium,49.6,0,0,30.33,0,6.32,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2004,5.4,6.66,9.28,69.7,313.847,14.68,83.2,17.29,31.3,11.1,9,35.7,0,2,3,7,5.6,2.5,106.3,93.1,103.3,115.5,98.3,3.02,8.1,42.28,Medium,65,0,0,23.75,0,5.66,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2005,1.84,8.42,9.59,85.1,328.847,15.76,84.1,11.75,34.8,10.1,6.6,33.6,0,4,5,7,2.7,3.1,104.1,100.1,108.7,115.8,92.7,4.78,15.2,54.55,Medium,47.3,0,0,34.91,0,5.33,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2006,3.34,8.76,9.86,85.3,345.417,16.31,84,14.84,38.2,12,6.3,39.3,0,2,3,7,0,2.1,103.4,97.5,103.7,115.5,94.9,5.04,18.9,48.02,Medium,65.5,0,1,28.24,0,5.15,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2007,2.57,8.55,9.45,82,360.177,15.52,83.7,13.11,37,11.7,5.2,31.9,0,4,5,7,5.4,3.8,104.5,103.7,105.6,113,94.4,4.27,25.6,53.65,Medium,39,0,0,37.28,0,5.39,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2008,0.91,11.23,12.71,146.4,371.945,15.84,85.2,9.51,36.9,13.3,9.3,36.9,0,4,2,7,5.9,5.5,115.4,136.9,145.9,103.5,87.7,3.27,27.6,59.42,Medium,47.8,0,0,39.7,0,5.38,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2009,1.83,9.74,11.3,41.1,384.683,16.8,87.3,14.48,34.4,14.3,1.1,38.3,0,2,3,7,10.8,6.6,119.8,81.4,90.1,120.1,94.4,3.42,11.3,52.68,Medium,44.3,0,0,27.82,0,5.19,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2010,4.27,7.27,9.35,85.2,401.143,17.94,88.3,11.43,36.3,6.3,9.1,36.9,0,2,1,7,3.3,0.7,103.4,102.4,102.7,108.2,96,4.28,8.2,46.73,Medium,58.3,0,0,25.24,0,4.92,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2011,3.33,8.12,8.22,152.6,414.884,17.78,86.5,14.53,38.7,6.8,4.5,37.1,0,5,1,7,4.8,4.6,94.3,144.5,144.3,122.7,94.3,3.43,20.5,57.28,Medium,41.1,0,1,39.99,0,4.86,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2012,7.64,10.06,11.05,104.5,423.214,17.43,86.9,16.92,32.2,9.6,7.3,35.4,0,3,2,7,0,2.9,113.5,115.5,124,110.7,99.8,2.01,14.2,48.01,Medium,58.4,0,0,30.41,0,4.98,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2013,3.79,11.3,13.25,102.1,438.057,17.79,88,16.54,35.8,12.2,6.7,24.7,0,4,4,7,0,1.8,119.3,114.2,118.4,118.2,93.3,3.51,20.3,57.11,Medium,55.1,0,0,37.45,0,4.94,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2014,-0.14,8.01,7.66,35.5,453.244,17.38,91,15.42,33.5,7,7.7,39.6,0,1,4,7,6.5,5.3,108.7,76.7,82.9,100.1,89.5,3.47,14.8,52.23,Medium,52.9,0,0,25.51,0,5.23,Contracting
Pakistan,South Asia,Lower-Middle,230,40,30,2015,2.05,11.02,12.5,20.6,467.341,17.31,92,13.51,37.9,9.7,8.5,36,0,1,1,7,6.5,3.5,117.1,76.4,92.2,119.9,90,3.11,12.1,53.6,Medium,54.6,0,0,25.68,0,5.31,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2016,4.16,9.05,12.08,46.8,482.676,16.96,91.8,14.33,31.3,10.3,4.5,34.1,0,3,3,7,8.3,3.1,113.4,79,102.3,102.3,96.8,3.28,14.1,53.67,Medium,52.6,0,0,31.89,0,5.41,Moderate
Pakistan,South Asia,Lower-Middle,230,40,30,2017,1.61,7.34,8.26,53.7,505.62,17.49,92.2,16.7,35.3,9.3,7.5,38,0,5,1,7,0,0.7,103,77.9,93,114.6,92.8,4.75,23.3,59.55,Medium,42.4,0,0,41.42,0,5.27,Moderate
